Iterations,NAG,NAGG
262,-309.746576426,-309.624988412
263,-309.744074356,-309.624959486
264,-309.741614854,-309.624923891
265,-309.739197347,-309.624882177
266,-309.736821269,-309.624834964
267,-309.734486059,-309.624782934
268,-309.732191165,-309.624726813
269,-309.729936037,-309.624667364
270,-309.727720134,-309.624605371
271,-309.725542922,-309.624541627
272,-309.723403871,-309.624476925
273,-309.721302458,-309.624412043
274,-309.719238166,-309.624347734
275,-309.717210482,-309.624284719
276,-309.715218903,-309.624223675
277,-309.713262927,-309.62416523
278,-309.711342061,-309.624109958
279,-309.709455816,-309.62405837
280,-309.70760371,-309.624010914
281,-309.705785265,-309.623967971
282,-309.70400001,-309.623929855
283,-309.702247478,-309.623896808
284,-309.700527209,-309.623869005
285,-309.698838747,-309.623846554
286,-309.697181641,-309.623829496
287,-309.695555446,-309.623817809
288,-309.693959724,-309.623811411
289,-309.692394038,-309.62381016
290,-309.690857959,-309.623813862
291,-309.689351063,-309.623822273
292,-309.687872929,-309.6238351
293,-309.686423144,-309.623852012
294,-309.685001297,-309.623872636
295,-309.683606982,-309.623896571
296,-309.682239801,-309.623923385
297,-309.680899356,-309.623952622
298,-309.679585258,-309.623983812
299,-309.678297119,-309.62401647
