Iterations,NAG,NAGG
107,-5555.29379882,-4711.38578153
108,-5550.9898162,-4708.83869292
109,-5546.70927946,-4706.4279486
110,-5542.45177392,-4704.14824331
111,-5538.21691104,-4701.99464303
112,-5534.00432676,-4699.96255953
113,-5529.81368002,-4698.04771994
114,-5525.64465129,-4696.2461327
115,-5521.49694122,-4694.55405103
116,-5517.37026944,-4692.96793521
117,-5513.26437326,-4691.48441493
118,-5509.17900661,-4690.10025248
119,-5505.11393898,-4688.81230798
120,-5501.06895438,-4687.61750726
121,-5497.04385041,-4686.51281321
122,-5493.0384374,-4685.49520089
123,-5489.05253755,-4684.561637
124,-5485.08598416,-4683.70906381
125,-5481.13862086,-4682.93438771
126,-5477.21030094,-4682.23447224
127,-5473.30088671,-4681.60613558
128,-5469.41024882,-4681.04615214
129,-5465.53826574,-4680.55125791
130,-5461.6848232,-4680.11815916
131,-5457.84981364,-4679.74354399
132,-5454.03313575,-4679.42409612
133,-5450.23469403,-4679.15651047
134,-5446.45439832,-4678.93750985
135,-5442.69216343,-4678.76386217
136,-5438.94790872,-4678.63239772
137,-5435.22155779,-4678.5400259
138,-5431.51303808,-4678.48375096
139,-5427.82228062,-4678.46068633
140,-5424.14921967,-4678.46806721
141,-5420.49379245,-4678.50326101
142,-5416.85593892,-4678.56377572
143,-5413.23560147,-4678.64726569
144,-5409.63272471,-4678.75153514
145,-5406.04725524,-4678.87453912
146,-5402.47914147,-4679.01438223
147,-5398.92833338,-4679.16931504
148,-5395.39478238,-4679.33772865
149,-5391.87844109,-4679.51814732
150,-5388.37926324,-4679.7092198
151,-5384.89720346,-4679.90970932
152,-5381.43221715,-4680.11848283
153,-5377.98426039,-4680.33449959
154,-5374.55328978,-4680.5567996
155,-5371.1392623,-4680.78449205
156,-5367.74213526,-4681.01674411
157,-5364.36186616,-4681.25277033
158,-5360.99841263,-4681.49182278
159,-5357.65173228,-4681.73318231
160,-5354.32178271,-4681.97615081
161,-5351.00852135,-4682.22004479
162,-5347.71190545,-4682.46419023
163,-5344.43189199,-4682.70791879
164,-5341.16843763,-4682.95056529
165,-5337.92149867,-4683.19146653
166,-5334.69103097,-4683.42996119
167,-5331.47698993,-4683.66539098
168,-5328.27933046,-4683.89710261
169,-5325.09800692,-4684.12445064
170,-5321.93297311,-4684.34680104
171,-5318.78418221,-4684.56353515
172,-5315.65158681,-4684.77405409
173,-5312.53513882,-4684.97778323
174,-5309.43478953,-4685.17417677
175,-5306.35048951,-4685.36272212
176,-5303.28218867,-4685.54294399
177,-5300.2298362,-4685.71440815
178,-5297.1933806,-4685.87672462
179,-5294.17276964,-4686.02955027
180,-5291.16795037,-4686.1725908
181,-5288.17886914,-4686.305602
182,-5285.20547155,-4686.42839027
183,-5282.24770251,-4686.54081238
184,-5279.3055062,-4686.64277462
185,-5276.37882609,-4686.73423114
186,-5273.46760495,-4686.81518173
187,-5270.57178486,-4686.88566903
188,-5267.6913072,-4686.94577522
189,-5264.82611269,-4686.99561831
190,-5261.97614135,-4687.03534816
191,-5259.14133258,-4687.0651422
192,-5256.32162513,-4687.08520114
193,-5253.5169571,-4687.09574454
194,-5250.72726601,-4687.0970066
195,-5247.95248874,-4687.08923197
196,-5245.19256163,-4687.07267191
197,-5242.44742041,-4687.04758077
198,-5239.71700029,-4687.01421274
199,-5237.00123592,-4686.97281922
200,-5234.30006145,-4686.92364647
201,-5231.61341052,-4686.86693389
202,-5228.94121629,-4686.80291278
203,-5226.28341146,-4686.73180549
204,-5223.63992827,-4686.65382526
205,-5221.01069855,-4686.56917633
206,-5218.39565372,-4686.47805458
207,-5215.79472478,-4686.38064851
208,-5213.20784239,-4686.27714055
209,-5210.63493685,-4686.16770862
210,-5208.07593812,-4686.05252791
211,-5205.53077583,-4685.9317727
212,-5202.99937935,-4685.80561838
