Iterations,NAG,NAGG
186,-234.035514981,-233.070864259
187,-234.015474189,-233.070912475
188,-233.995821316,-233.070998852
189,-233.976548606,-233.071118414
190,-233.957648487,-233.071265582
191,-233.939113558,-233.071434339
192,-233.920936589,-233.071618394
193,-233.903110514,-233.071811354
194,-233.885628431,-233.072006881
195,-233.868483588,-233.072198852
196,-233.85166939,-233.072381503
197,-233.835179387,-233.072549558
198,-233.819007274,-233.072698352
199,-233.803146885,-233.072823927
200,-233.78759219,-233.072923111
201,-233.772337293,-233.072993574
202,-233.757376426,-233.073033865
203,-233.742703946,-233.073043415
204,-233.728314334,-233.073022528
205,-233.71420219,-233.072972342
206,-233.70036223,-233.072894765
207,-233.686789282,-233.072792399
208,-233.673478287,-233.072668441
209,-233.660424291,-233.072526572
210,-233.647622446,-233.072370836
211,-233.635068007,-233.072205515
212,-233.622756327,-233.072034994
213,-233.610682858,-233.07186364
214,-233.598843145,-233.071695675
215,-233.587232827,-233.071535069
216,-233.575847632,-233.071385434
217,-233.564683377,-233.071249942
218,-233.553735964,-233.071131254
219,-233.543001379,-233.071031471
220,-233.532475691,-233.070952097
221,-233.522155047,-233.070894027
222,-233.512035672,-233.070857547
223,-233.502113868,-233.070842354
224,-233.492386012,-233.070847591
225,-233.482848552,-233.070871891
226,-233.473498006,-233.07091344
227,-233.464330964,-233.070970039
228,-233.455344081,-233.071039184
229,-233.446534078,-233.071118141
230,-233.437897744,-233.07120403
231,-233.429431925,-233.071293904
232,-233.421133534,-233.071384834
233,-233.412999541,-233.07147398
234,-233.405026976,-233.071558667
235,-233.397212925,-233.071636446
236,-233.389554533,-233.071705153
237,-233.382048995,-233.071762953
238,-233.374693565,-233.071808382
239,-233.367485547,-233.071840367
240,-233.360422294,-233.071858247
241,-233.353501214,-233.07186177
242,-233.346719759,-233.071851095
243,-233.340075433,-233.071826764
244,-233.333565784,-233.071789681
245,-233.327188407,-233.071741073
246,-233.320940943,-233.071682444
247,-233.314821074,-233.071615526
248,-233.308826528,-233.071542224
249,-233.302955074,-233.071464555
250,-233.29720452,-233.071384588
251,-233.291572717,-233.071304388
252,-233.286057555,-233.071225955
253,-233.28065696,-233.071151169
254,-233.2753689,-233.07108175
255,-233.270191375,-233.071019204
256,-233.265122425,-233.070964801
257,-233.260160125,-233.070919537
258,-233.255302581,-233.070884127
259,-233.250547938,-233.070858987
260,-233.245894371,-233.070844242
261,-233.241340088,-233.070839727
262,-233.236883329,-233.070845007
263,-233.232522367,-233.070859398
264,-233.228255503,-233.070881999
265,-233.224081068,-233.070911719
266,-233.219997425,-233.07094732
267,-233.216002963,-233.070987453
268,-233.212096101,-233.071030702
269,-233.208275285,-233.071075622
270,-233.204538987,-233.07112078
271,-233.200885707,-233.071164794
272,-233.19731397,-233.071206366
273,-233.193822328,-233.071244315
274,-233.190409356,-233.071277604
275,-233.187073655,-233.071305361
276,-233.183813848,-233.071326896
277,-233.180628585,-233.071341714
278,-233.177516536,-233.071349521
279,-233.174476395,-233.071350223
280,-233.171506878,-233.071343923
281,-233.168606722,-233.071330911
282,-233.165774687,-233.071311651
283,-233.163009552,-233.07128676
284,-233.160310118,-233.071256991
285,-233.157675206,-233.071223202
286,-233.155103657,-233.071186338
287,-233.15259433,-233.071147396
288,-233.150146105,-233.071107398
289,-233.147757879,-233.071067367
290,-233.145428568,-233.071028293
291,-233.143157107,-233.07099111
292,-233.140942447,-233.070956676
293,-233.138783558,-233.070925744
294,-233.136679425,-233.070898952
295,-233.134629053,-233.070876806
296,-233.132631459,-233.070859669
297,-233.130685681,-233.070847759
298,-233.128790769,-233.070841143
299,-233.12694579,-233.070839745
