Iterations,Adagrad,AdagradG
183,-8224.45122188,-5180.30200579
184,-8222.14707811,-5177.691483
185,-8219.85869753,-5175.09883654
186,-8217.58588768,-5172.52390455
187,-8215.32845946,-5169.96652711
188,-8213.08622699,-5167.42654614
189,-8210.85900758,-5164.90380546
190,-8208.64662166,-5162.39815069
191,-8206.44889268,-5159.90942927
192,-8204.26564706,-5157.43749038
193,-8202.09671413,-5154.98218496
194,-8199.94192603,-5152.54336566
195,-8197.80111769,-5150.12088682
196,-8195.67412676,-5147.71460443
197,-8193.56079353,-5145.32437614
198,-8191.46096087,-5142.95006118
199,-8189.37447421,-5140.59152039
200,-8187.30118145,-5138.24861616
201,-8185.24093292,-5135.92121244
202,-8183.19358134,-5133.60917469
203,-8181.15898175,-5131.31236984
204,-8179.13699146,-5129.03066634
205,-8177.12747002,-5126.76393407
206,-8175.13027918,-5124.51204433
207,-8173.14528279,-5122.27486986
208,-8171.17234684,-5120.05228478
209,-8169.21133935,-5117.84416458
210,-8167.26213036,-5115.65038611
211,-8165.32459188,-5113.47082754
212,-8163.39859784,-5111.30536839
213,-8161.48402408,-5109.15388946
214,-8159.58074829,-5107.01627281
215,-8157.68864998,-5104.8924018
216,-8155.80761044,-5102.78216102
217,-8153.93751273,-5100.6854363
218,-8152.07824159,-5098.60211467
219,-8150.22968346,-5096.53208436
220,-8148.39172645,-5094.47523479
221,-8146.56426025,-5092.43145655
222,-8144.74717618,-5090.40064137
223,-8142.94036708,-5088.38268212
224,-8141.14372734,-5086.37747278
225,-8139.35715286,-5084.38490847
226,-8137.58054098,-5082.40488537
227,-8135.81379053,-5080.43730075
228,-8134.05680171,-5078.48205295
229,-8132.30947616,-5076.53904135
230,-8130.57171686,-5074.60816637
231,-8128.84342814,-5072.68932947
232,-8127.12451565,-5070.78243309
233,-8125.41488634,-5068.88738071
234,-8123.71444843,-5067.00407676
235,-8122.02311138,-5065.13242666
236,-8120.3407859,-5063.2723368
237,-8118.66738389,-5061.42371451
238,-8117.00281843,-5059.58646804
239,-8115.34700379,-5057.76050661
240,-8113.69985537,-5055.94574031
241,-8112.06128969,-5054.14208017
242,-8110.43122439,-5052.34943809
243,-8108.80957817,-5050.56772686
244,-8107.19627084,-5048.79686014
245,-8105.59122323,-5047.03675245
246,-8103.99435721,-5045.28731917
247,-8102.40559568,-5043.54847649
248,-8100.82486251,-5041.82014147
249,-8099.25208258,-5040.10223196
250,-8097.68718172,-5038.39466663
251,-8096.13008672,-5036.69736496
252,-8094.58072531,-5035.0102472
253,-8093.03902611,-5033.3332344
254,-8091.50491868,-5031.66624837
255,-8089.97833345,-5030.00921169
256,-8088.45920173,-5028.36204768
257,-8086.94745569,-5026.72468043
258,-8085.44302836,-5025.09703474
259,-8083.94585359,-5023.47903616
260,-8082.45586605,-5021.87061094
261,-8080.97300123,-5020.27168605
262,-8079.49719541,-5018.68218917
263,-8078.02838565,-5017.10204865
264,-8076.56650978,-5015.53119354
265,-8075.1115064,-5013.96955358
266,-8073.66331485,-5012.41705916
267,-8072.2218752,-5010.87364135
268,-8070.78712826,-5009.33923186
269,-8069.35901553,-5007.81376305
270,-8067.93747923,-5006.29716792
271,-8066.52246227,-5004.78938012
272,-8065.11390824,-5003.2903339
273,-8063.7117614,-5001.79996414
274,-8062.31596666,-5000.31820633
275,-8060.92646961,-4998.84499656
276,-8059.54321646,-4997.38027153
277,-8058.16615404,-4995.92396851
278,-8056.79522984,-4994.47602538
279,-8055.43039192,-4993.03638056
280,-8054.07158898,-4991.60497308
281,-8052.71877029,-4990.18174252
282,-8051.37188573,-4988.76662901
283,-8050.03088574,-4987.35957323
284,-8048.69572134,-4985.96051642
285,-8047.3663441,-4984.56940035
286,-8046.04270616,-4983.18616733
287,-8044.72476018,-4981.81076019
288,-8043.4124594,-4980.44312229
289,-8042.10575755,-4979.08319749
290,-8040.80460889,-4977.73093018
291,-8039.50896821,-4976.38626524
292,-8038.21879081,-4975.04914806
293,-8036.93403247,-4973.71952452
294,-8035.65464947,-4972.39734098
295,-8034.3805986,-4971.08254429
296,-8033.11183709,-4969.77508178
297,-8031.84832267,-4968.47490125
298,-8030.59001355,-4967.18195096
299,-8029.33686836,-4965.89617965
300,-8028.08884621,-4964.6175365
