Iterations,Adagrad,AdagradG
128,-1026.66229815,-1072.91662419
129,-1026.52562537,-1054.64930035
130,-1026.39013287,-1068.93494463
131,-1026.25580051,-1051.28039057
132,-1026.12260862,-1065.06865568
133,-1025.990538,-1048.00575838
134,-1025.85956986,-1061.31351821
135,-1025.72968588,-1044.82186842
136,-1025.60086813,-1057.66549376
137,-1025.47309909,-1041.72536776
138,-1025.34636165,-1054.1207327
139,-1025.22063907,-1038.71307379
140,-1025.09591498,-1050.67556323
141,-1024.97217338,-1035.78196294
142,-1024.84939863,-1047.32648104
143,-1024.7275754,-1032.92916038
144,-1024.60668874,-1044.07013968
145,-1024.48672398,-1030.15193036
146,-1024.36766678,-1040.90334157
147,-1024.24950312,-1027.44766744
148,-1024.13221927,-1037.82302959
149,-1024.01580178,-1024.81388824
150,-1023.90023749,-1034.82627923
151,-1023.78551351,-1022.24822387
152,-1023.67161724,-1031.91029128
153,-1023.5585363,-1019.74841294
154,-1023.4462586,-1029.07238495
155,-1023.33477228,-1017.31229507
156,-1023.22406573,-1026.30999147
157,-1023.11412757,-1014.93780479
158,-1023.00494664,-1023.62064817
159,-1022.89651202,-1012.62296609
160,-1022.788813,-1021.00199278
161,-1022.68183908,-1010.3658871
162,-1022.57557996,-1018.45175831
163,-1022.47002556,-1008.16475541
164,-1022.36516598,-1015.96776808
165,-1022.26099152,-1006.01783352
166,-1022.15749267,-1013.54793118
167,-1022.0546601,-1003.92345476
168,-1021.95248464,-1011.19023818
169,-1021.85095733,-1001.88001938
170,-1021.75006934,-1008.8927571
171,-1021.64981204,-999.885990993
172,-1021.55017695,-1006.65362966
173,-1021.45115573,-997.93989326
174,-1021.35274023,-1004.47106775
175,-1021.25492241,-996.040306739
176,-1021.15769442,-1002.34335012
177,-1021.06104851,-994.185866013
178,-1020.9649771,-1000.26881926
179,-1020.86947275,-992.375256977
180,-1020.77452814,-998.245878488
181,-1020.68013607,-990.607214315
182,-1020.5862895,-996.272989186
183,-1020.4929815,-988.880519138
184,-1020.40020525,-994.348668231
185,-1020.30795406,-987.193996779
186,-1020.21622138,-992.471485549
187,-1020.12500073,-985.546514721
188,-1020.03428577,-990.640061813
189,-1019.94407028,-983.936980662
190,-1019.85434812,-988.853066277
191,-1019.76511327,-982.364340691
192,-1019.67635981,-987.109214727
193,-1019.58808192,-980.827577585
194,-1019.50027388,-985.407267539
195,-1019.41293006,-979.325709197
196,-1019.32604494,-983.746027848
197,-1019.23961309,-977.857786945
198,-1019.15362914,-982.124339806
199,-1019.06808784,-976.422894383
200,-1018.98298403,-980.541086935
201,-1018.89831261,-975.020145859
202,-1018.81406858,-978.995190559
203,-1018.73024702,-973.64868524
204,-1018.64684308,-977.485608318
205,-1018.56385201,-972.307684707
206,-1018.4812691,-976.011332753
207,-1018.39908976,-970.996343622
208,-1018.31730944,-974.571389952
209,-1018.23592367,-969.713887441
210,-1018.15492806,-973.164838272
211,-1018.07431828,-968.459566688
212,-1017.99409008,-971.790767108
213,-1017.91423925,-967.232655988
214,-1017.83476167,-970.448295725
215,-1017.75565328,-966.032453131
216,-1017.67691008,-969.136572136
217,-1017.59852813,-964.858278193
218,-1017.52050355,-967.854772036
219,-1017.44283253,-963.709472693
220,-1017.36551129,-966.602097771
221,-1017.28853613,-962.585398789
222,-1017.21190342,-965.377777363
223,-1017.13560955,-961.48543851
224,-1017.05965098,-964.181063564
225,-1016.98402423,-960.408993025
226,-1016.90872586,-963.011232958
227,-1016.83375249,-959.355481935
228,-1016.75910079,-961.86758509
229,-1016.68476746,-958.324342607
230,-1016.61074927,-960.749441636
231,-1016.53704304,-957.315029522
232,-1016.46364562,-959.656145606
233,-1016.3905539,-956.327013665
234,-1016.31776484,-958.587060573
235,-1016.24527544,-955.359781925
236,-1016.17308271,-957.541569933
237,-1016.10118374,-954.41283653
238,-1016.02957564,-956.519076199
239,-1015.95825558,-953.485694496
240,-1015.88722075,-955.519000312
241,-1015.8164684,-952.577887104
242,-1015.74599578,-954.540780988
243,-1015.67580024,-951.688959396
244,-1015.6058791,-953.583874079
245,-1015.53622977,-950.818469685
246,-1015.46684967,-952.647751968
247,-1015.39773626,-949.965989088
248,-1015.32888703,-951.731902979
249,-1015.26029951,-949.13110108
250,-1015.19197128,-950.83583081
251,-1015.12389991,-948.313401057
252,-1015.05608305,-949.959053993
253,-1014.98851835,-947.51249592
254,-1014.92120351,-949.101105364
255,-1014.85413625,-946.728003674
256,-1014.78731432,-948.26153156
257,-1014.7207355,-945.959553044
258,-1014.65439762,-947.439892532
259,-1014.58829851,-945.206783098
260,-1014.52243603,-946.635761076
261,-1014.4568081,-944.469342893
262,-1014.39141264,-945.848722382
263,-1014.32624759,-943.746891129
264,-1014.26131094,-945.078373597
265,-1014.1966007,-943.039095816
266,-1014.13211489,-944.324323411
267,-1014.06785157,-942.345633958
268,-1014.00380882,-943.586191645
269,-1013.93998475,-941.666191238
270,-1013.8763775,-942.863608874
271,-1013.8129852,-941.000461732
272,-1013.74980605,-942.156216045
273,-1013.68683824,-940.348147613
274,-1013.62408,-941.463664119
275,-1013.56152956,-939.708958886
276,-1013.4991852,-940.785613728
277,-1013.43704521,-939.082613118
278,-1013.37510789,-940.121734839
279,-1013.31337158,-938.468835188
280,-1013.25183462,-939.471706434
281,-1013.1904954,-937.867357037
282,-1013.1293523,-938.835216202
283,-1013.06840373,-937.277917442
284,-1013.00764813,-938.211960243
285,-1012.94708394,-936.700261779
286,-1012.88670963,-937.601642781
287,-1012.82652369,-936.134141816
288,-1012.76652463,-937.003975893
289,-1012.70671096,-935.579315495
290,-1012.64708123,-936.418679242
291,-1012.587634,-935.035546737
292,-1012.52836784,-935.845479825
293,-1012.46928134,-934.502605249
294,-1012.41037312,-935.284111728
295,-1012.35164179,-933.980266331
296,-1012.29308601,-934.734315893
297,-1012.23470442,-933.468310706
298,-1012.17649569,-934.195839895
299,-1012.11845853,-932.966524345
300,-1012.06059162,-933.66843772
